AGE,WORKCLASS,EDUCATION,EDUCATIONAL-NUM,MARITAL-STATUS,OCCUPATION,RELATIONSHIP,GENDER,CAPITAL-GAIN,CAPITAL-LOSS,HOURS-PER-WEEK,INCOME
44,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Male,0,0,40,0
27,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Male,0,0,40,0
27,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Male,13550,0,40,1
58,Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,40,0
25,Private,Some-college,10,Never-married,Tech-support,Own-child,Male,0,0,15,0
31,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,Female,0,0,40,0
39,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,50,1
55,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,1
22,Private,Assoc-voc,11,Never-married,Other-service,Own-child,Female,0,0,12,0
44,Private,Assoc-acdm,12,Separated,Exec-managerial,Not-in-family,Male,0,0,40,0
41,?,Assoc-voc,11,Married-civ-spouse,?,Wife,Female,0,1628,5,0
44,Private,12th,8,Divorced,Transport-moving,Not-in-family,Female,0,0,40,0
61,Private,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,54,0
32,Private,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,40,0
35,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,45,1
28,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,0
57,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,1
32,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,65,1
46,State-gov,7th-8th,4,Never-married,Other-service,Not-in-family,Female,0,0,40,0
26,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Wife,Female,0,1579,20,0
43,Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,0
62,Local-gov,HS-grad,9,Divorced,Other-service,Not-in-family,Female,0,0,35,0
60,State-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,38,1
67,Private,HS-grad,9,Divorced,Sales,Not-in-family,Female,0,0,20,0
19,Private,HS-grad,9,Never-married,Sales,Unmarried,Female,0,0,30,0
55,?,HS-grad,9,Never-married,?,Not-in-family,Female,0,0,40,0
48,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,Male,0,0,65,1
19,State-gov,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Female,0,0,20,0
19,Private,Some-college,10,Never-married,Other-service,Not-in-family,Female,0,0,30,0
43,Private,HS-grad,9,Divorced,Exec-managerial,Unmarried,Female,0,0,40,0
31,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,90,0
65,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Female,0,0,45,0
32,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,Female,0,0,40,0
36,State-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,1
41,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,40,0
33,Local-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,Male,3908,0,40,0
72,?,10th,6,Divorced,?,Not-in-family,Male,0,0,12,0
34,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,Male,0,1977,50,1
27,Private,Some-college,10,Never-married,Craft-repair,Not-in-family,Male,0,0,45,0
75,Self-emp-inc,11th,7,Never-married,Exec-managerial,Not-in-family,Male,0,0,50,0
39,?,10th,6,Widowed,?,Unmarried,Female,0,0,15,0
51,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,1887,40,1
47,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,40,0
31,Private,Some-college,10,Never-married,Prof-specialty,Not-in-family,Male,0,0,40,0
40,Private,Masters,14,Never-married,Exec-managerial,Not-in-family,Female,0,0,40,1
48,Private,HS-grad,9,Divorced,Sales,Not-in-family,Female,0,0,30,0
36,Local-gov,Bachelors,13,Never-married,Protective-serv,Not-in-family,Male,0,0,40,0
18,Private,HS-grad,9,Never-married,Other-service,Own-child,Male,0,0,20,0
33,Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Female,0,0,40,0
34,Private,Masters,14,Married-civ-spouse,Sales,Husband,Male,0,0,40,0
51,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,3103,0,48,1
39,State-gov,Assoc-acdm,12,Divorced,Prof-specialty,Not-in-family,Female,0,0,40,0
20,Private,HS-grad,9,Never-married,Other-service,Own-child,Male,0,0,35,0
67,Local-gov,Some-college,10,Divorced,Adm-clerical,Not-in-family,Female,0,0,20,0
42,Private,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,Female,0,0,60,0
59,Private,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,40,0
31,Local-gov,HS-grad,9,Never-married,Protective-serv,Not-in-family,Male,0,0,40,0
19,Private,Some-college,10,Never-married,Other-service,Unmarried,Female,2036,0,30,0
47,Private,Some-college,10,Divorced,Exec-managerial,Not-in-family,Female,0,0,48,0
68,Private,7th-8th,4,Married-civ-spouse,Other-service,Husband,Male,0,0,30,0
30,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,40,0
34,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Male,0,0,60,0
49,Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,40,0
38,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,1
60,Private,Some-college,10,Married-civ-spouse,Sales,Husband,Male,7298,0,40,1
51,Private,Some-college,10,Married-civ-spouse,Sales,Husband,Male,0,0,40,1
24,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Male,0,0,40,0
18,Private,Some-college,10,Never-married,Handlers-cleaners,Own-child,Female,0,1602,35,0
24,Private,Bachelors,13,Never-married,Exec-managerial,Own-child,Female,0,0,40,0
21,Private,5th-6th,3,Married-civ-spouse,Other-service,Husband,Male,0,0,40,0
48,Local-gov,HS-grad,9,Married-civ-spouse,Tech-support,Wife,Female,0,1848,40,1
52,Local-gov,9th,5,Married-civ-spouse,Other-service,Wife,Female,0,0,40,0
48,Private,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,Male,0,0,40,0
40,Federal-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,7688,0,66,1
29,?,11th,7,Divorced,?,Not-in-family,Female,3418,0,48,0
20,Private,Some-college,10,Never-married,Tech-support,Own-child,Female,0,0,20,0
31,Private,HS-grad,9,Divorced,Sales,Unmarried,Female,0,0,25,0
30,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,50,0
30,Private,HS-grad,9,Never-married,Craft-repair,Unmarried,Male,0,0,40,0
51,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Female,0,0,40,0
29,Private,Assoc-voc,11,Divorced,Exec-managerial,Not-in-family,Female,0,0,40,0
56,Self-emp-not-inc,Masters,14,Never-married,Sales,Not-in-family,Male,0,0,16,0
46,Private,Bachelors,13,Separated,Tech-support,Unmarried,Female,0,0,40,0
41,Private,Some-college,10,Separated,Prof-specialty,Own-child,Female,0,3900,40,0
29,Private,5th-6th,3,Never-married,Other-service,Other-relative,Female,0,0,40,0
48,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,30,0
34,Self-emp-inc,HS-grad,9,Divorced,Sales,Not-in-family,Female,0,0,50,0
42,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,50,0
25,Private,HS-grad,9,Never-married,Other-service,Unmarried,Female,0,0,30,0
47,Private,11th,7,Divorced,Other-service,Unmarried,Female,0,0,40,0
23,Private,HS-grad,9,Never-married,Sales,Own-child,Male,0,0,40,0
43,Local-gov,Assoc-voc,11,Married-civ-spouse,Transport-moving,Husband,Male,0,0,22,0
19,Local-gov,Some-college,10,Never-married,Other-service,Own-child,Female,0,0,35,0
22,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Male,0,0,40,0
40,Local-gov,Bachelors,13,Divorced,Prof-specialty,Unmarried,Female,0,0,70,0
