0,1,2,3,4,5,6,7,8,9,10,11,12
40000,44,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Male,0,0,40,0
40001,27,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Male,0,0,40,0
40002,27,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Male,13550,0,40,1
40003,58,Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,40,0
40004,25,Private,Some-college,10,Never-married,Tech-support,Own-child,Male,0,0,15,0
40005,31,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,Female,0,0,40,0
40006,39,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,50,1
40007,55,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,1
40008,22,Private,Assoc-voc,11,Never-married,Other-service,Own-child,Female,0,0,12,0
40009,44,Private,Assoc-acdm,12,Separated,Exec-managerial,Not-in-family,Male,0,0,40,0
40010,41,?,Assoc-voc,11,Married-civ-spouse,?,Wife,Female,0,1628,5,0
40011,44,Private,12th,8,Divorced,Transport-moving,Not-in-family,Female,0,0,40,0
40012,61,Private,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,54,0
40013,32,Private,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,40,0
40014,35,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,45,1
40015,28,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,0
40016,57,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,1
40017,32,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,65,1
40018,46,State-gov,7th-8th,4,Never-married,Other-service,Not-in-family,Female,0,0,40,0
40019,26,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Wife,Female,0,1579,20,0
40020,43,Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,0
40021,62,Local-gov,HS-grad,9,Divorced,Other-service,Not-in-family,Female,0,0,35,0
40022,60,State-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,38,1
40023,67,Private,HS-grad,9,Divorced,Sales,Not-in-family,Female,0,0,20,0
40024,19,Private,HS-grad,9,Never-married,Sales,Unmarried,Female,0,0,30,0
40025,55,?,HS-grad,9,Never-married,?,Not-in-family,Female,0,0,40,0
40026,48,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,Male,0,0,65,1
40027,19,State-gov,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Female,0,0,20,0
