ID,AGE,WORKCLASS,EDUCATION,EDUCATIONAL-NUM,MARITAL-STATUS,OCCUPATION,RELATIONSHIP,GENDER,CAPITAL-GAIN,CAPITAL-LOSS,HOURS-PER-WEEK,INCOME
0,25,Private,11th,7,Never-married,Machine-op-inspct,Own-child,Male,0,0,40,0
1,38,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,50,0
2,28,Local-gov,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,Male,0,0,40,1
3,44,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Male,7688,0,40,1
4,18,?,Some-college,10,Never-married,?,Own-child,Female,0,0,30,0
5,34,Private,10th,6,Never-married,Other-service,Not-in-family,Male,0,0,30,0
6,29,?,HS-grad,9,Never-married,?,Unmarried,Male,0,0,40,0
7,63,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Male,3103,0,32,1
8,24,Private,Some-college,10,Never-married,Other-service,Unmarried,Female,0,0,40,0
9,55,Private,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,Male,0,0,10,0
10,65,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Male,6418,0,40,1
11,36,Federal-gov,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,40,0
12,26,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Female,0,0,39,0
13,58,?,HS-grad,9,Married-civ-spouse,?,Husband,Male,0,0,35,0
14,48,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Male,3103,0,48,1
15,43,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,50,1
16,20,State-gov,Some-college,10,Never-married,Other-service,Own-child,Male,0,0,25,0
17,43,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Female,0,0,30,0
18,37,Private,HS-grad,9,Widowed,Machine-op-inspct,Unmarried,Female,0,0,20,0
19,40,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,45,1
20,34,Private,Bachelors,13,Married-civ-spouse,Tech-support,Husband,Male,0,0,47,1
21,34,Private,Some-college,10,Never-married,Other-service,Own-child,Female,0,0,35,0
22,72,?,7th-8th,4,Divorced,?,Not-in-family,Female,0,0,6,0
23,25,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Male,0,0,43,0
24,25,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,0
25,45,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,7298,0,90,1
26,22,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,Male,0,0,20,0
27,23,Private,HS-grad,9,Separated,Machine-op-inspct,Unmarried,Male,0,0,54,0
28,54,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,35,0
29,32,Self-emp-not-inc,Some-college,10,Never-married,Prof-specialty,Not-in-family,Male,0,0,60,0
30,46,State-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Male,7688,0,38,1
31,56,Self-emp-not-inc,11th,7,Widowed,Other-service,Unmarried,Female,0,0,50,0
32,24,Self-emp-not-inc,Bachelors,13,Never-married,Sales,Not-in-family,Male,0,0,50,0
33,23,Local-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,Male,0,0,40,0
34,26,Private,HS-grad,9,Divorced,Exec-managerial,Unmarried,Female,0,0,40,0
35,65,?,HS-grad,9,Married-civ-spouse,?,Husband,Male,0,0,40,0
36,36,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,1
37,22,Private,5th-6th,3,Never-married,Priv-house-serv,Not-in-family,Male,0,0,50,0
38,17,Private,10th,6,Never-married,Machine-op-inspct,Not-in-family,Male,0,0,40,0
39,20,Private,HS-grad,9,Never-married,Craft-repair,Own-child,Male,0,0,40,0
40,65,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,50,1
41,44,Self-emp-inc,Assoc-voc,11,Married-civ-spouse,Sales,Husband,Male,0,0,45,1
42,36,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,40,0
43,29,Private,11th,7,Married-civ-spouse,Other-service,Husband,Male,0,0,40,0
44,20,State-gov,Some-college,10,Never-married,Farming-fishing,Own-child,Male,0,0,32,0
45,28,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,36,1
46,39,Private,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,0
47,54,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Male,3908,0,50,0
48,52,Private,11th,7,Separated,Priv-house-serv,Not-in-family,Female,0,0,18,0
49,56,Self-emp-inc,HS-grad,9,Widowed,Exec-managerial,Not-in-family,Female,0,0,50,0
50,18,Private,Some-college,10,Never-married,Other-service,Own-child,Male,0,0,20,0
51,39,Private,HS-grad,9,Divorced,Handlers-cleaners,Own-child,Male,0,0,40,0
52,21,Private,Some-college,10,Never-married,Other-service,Own-child,Female,0,1721,24,0
53,22,Private,HS-grad,9,Never-married,Other-service,Not-in-family,Male,14084,0,60,1
54,38,Private,9th,5,Married-spouse-absent,Exec-managerial,Not-in-family,Male,0,0,54,0
55,21,Private,Some-college,10,Never-married,Adm-clerical,Own-child,Female,0,0,40,0
56,63,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,0
57,34,Local-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,3103,0,50,1
58,42,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Male,5178,0,50,1
59,33,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,40,0
60,30,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Female,0,0,50,0
61,39,Private,Some-college,10,Divorced,Sales,Not-in-family,Male,0,0,40,0
62,26,Private,Masters,14,Never-married,Exec-managerial,Not-in-family,Female,0,0,40,0
63,33,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Female,0,0,40,0
64,47,Local-gov,HS-grad,9,Divorced,Adm-clerical,Not-in-family,Female,0,0,40,0
65,41,Private,Bachelors,13,Never-married,Other-service,Not-in-family,Female,0,0,40,0
66,41,Self-emp-inc,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,Male,15024,0,60,1
67,19,Private,Some-college,10,Never-married,Other-service,Own-child,Male,0,0,20,0
68,46,Private,HS-grad,9,Separated,Transport-moving,Not-in-family,Male,0,0,40,0
69,43,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,Male,0,0,48,0
70,55,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Male,15024,0,45,1
71,46,Private,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,Male,0,0,40,0
72,30,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,40,0
73,21,Private,Some-college,10,Separated,Handlers-cleaners,Not-in-family,Female,0,0,40,0
74,46,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,0
75,17,?,10th,6,Never-married,?,Own-child,Male,0,0,40,0
76,41,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,50,0
77,69,Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,Male,0,0,30,0
78,50,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Male,0,0,40,0
79,20,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,Female,0,0,40,0
80,45,Self-emp-inc,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,50,0
81,23,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Male,0,0,40,0
82,24,Private,Some-college,10,Separated,Other-service,Not-in-family,Male,0,1876,40,0
83,44,Self-emp-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,99999,0,50,1
84,31,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,50,0
85,43,Private,HS-grad,9,Separated,Machine-op-inspct,Not-in-family,Female,0,0,44,0
86,20,Federal-gov,11th,7,Never-married,Other-service,Own-child,Female,0,0,10,0
87,55,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,Male,0,0,56,1
88,24,Federal-gov,Some-college,10,Never-married,Armed-Forces,Not-in-family,Male,0,0,40,0
89,41,?,Masters,14,Married-civ-spouse,?,Wife,Female,7688,0,10,1
90,59,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Female,0,0,25,0
91,49,Federal-gov,7th-8th,4,Never-married,Other-service,Not-in-family,Male,0,0,20,0
92,33,Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,Female,5178,0,10,1
93,59,Federal-gov,Bachelors,13,Divorced,Adm-clerical,Not-in-family,Male,0,0,40,0
94,34,Private,Masters,14,Never-married,Other-service,Not-in-family,Male,0,0,40,0
95,20,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Male,0,0,40,0
96,25,Private,Bachelors,13,Never-married,Exec-managerial,Own-child,Female,0,0,40,0
97,49,Private,10th,6,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,40,0
98,59,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Male,0,0,40,1
99,20,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Female,0,0,40,0
100,51,?,Some-college,10,Married-civ-spouse,?,Wife,Female,0,0,18,0
101,33,Private,Some-college,10,Never-married,Adm-clerical,Unmarried,Female,0,0,35,0
102,22,Private,Some-college,10,Never-married,Transport-moving,Own-child,Male,0,0,39,0
103,58,Self-emp-not-inc,9th,5,Widowed,Other-service,Not-in-family,Female,0,0,40,0
104,52,Local-gov,HS-grad,9,Widowed,Adm-clerical,Unmarried,Female,0,0,28,0
105,36,Private,10th,6,Separated,Machine-op-inspct,Not-in-family,Female,0,0,40,0
106,41,Local-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,Male,0,0,40,0
107,28,Private,HS-grad,9,Never-married,Transport-moving,Own-child,Male,2597,0,40,0
108,19,Private,Some-college,10,Never-married,Handlers-cleaners,Own-child,Male,0,0,16,0
109,18,Private,HS-grad,9,Never-married,Other-service,Not-in-family,Female,0,0,28,0
110,18,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Female,0,0,48,0
111,28,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,0
112,29,Private,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,1
113,20,?,HS-grad,9,Never-married,?,Own-child,Female,0,0,20,0
114,40,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,40,0
115,26,Private,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,Male,0,0,40,0
116,46,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,0
117,23,Private,11th,7,Never-married,Other-service,Not-in-family,Female,0,0,24,0
